Spanish,English
ser,be
son,are
también,also
fue,it was
había,there was
era,it was
muy,very
años,years
desde,since
está,this
mi,me
porque,because
qué,what
sólo,single
han,they have
yo,me
hay,there are
vez,time
puede,can
todos,everybody
así,So
nos,us
ni,neither
parte,part
tiene,have
él,the
uno,one
donde,where
bien,right
tiempo,weather
mismo,same
ese,that
cada,each
e,and
vida,life
otro,other
después,after
te,tea
otros,others
aunque,though
esa,this
hace,does
otra,other
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,great
país,country
menos,less
mundo,world
año,year
antes,before
estado,condition
contra,against
sino,otherwise
forma,form
caso,case
nada,any
hacer,do
general,general
estaba,I was
poco,little bit
estos,these
presidente,President
mayor,elderly
ante,in view of
unos,some
les,them
algo,something
hacia,towards
hecho,done
primera,first
mucho,much
mientras,while
además,what's more
quien,who
momento,moment
millones,millions
esto,this
españa,Spain
hombre,men
están,is it so
pues,well
hoy,today
madrid,Madrid
